name,neighborhood,place_type,google_place_id,latitude,longitude,places_display_name,tags
Dulce Jesús Mío,Provenza,bar,ChIJ3QqIKDcoRI4RiVE5Rr_jonk,6.2230061999999995,-75.5653332,Sweet Jesus Mine,themed|reggaeton|tourist-friendly|live-music
360 Rooftop Bar,Provenza,bar,ChIJkWmO1w4pRI4RJ_Ez8Fw5es8,6.209672599999999,-75.56612659999999,360 Rooftop Bar & Restaurante,rooftop|cocktails|reggaeton
Envy Roof Bar,Provenza,bar,ChIJz33pvSkoRI4Rp3jsj_c-VNw,6.208922299999999,-75.5670602,Envy Rooftop - Rooftop en Medellín,rooftop|cocktails|dress-code
Salon Amador,Provenza,nightclub,ChIJDzB_rikoRI4RK7880NQlw-4,6.2098968999999995,-75.5682776,Salón Amador,electronic|techno|late-night
VIVO Medellín,Provenza,nightclub,ChIJjSpbHvQpRI4RcOicgNc_pkY,6.207855899999999,-75.56602649999999,La House Provenza,reggaeton|latin|late-night
Red Bar Medellín,El Poblado,bar,ChIJcd1i5paDRo4R_43xXyY06js,6.2063426999999995,-75.5686593,Red Bar,cocktails|expat-friendly|late-night
Bendito Seas,Manila,nightclub,ChIJCTe8u8ApRI4ReA6E6ke922A,6.2101619999999995,-75.5673929,Bendito Seas,reggaeton|latin|late-night
Palma Pitón Manila,Manila,nightclub,ChIJ5YybASEpRI4RMQVFxi9kfcE,6.2147141,-75.5715682,Palma Pitón Manila,reggaeton|latin|late-night
818 DISTRICT,Laureles,nightclub,ChIJcw-7qt0pRI4Ree7F6X1eGuo,6.2418827,-75.59206449999999,818 DISTRICT,reggaeton|crossover|late-night
La Octava Bar,El Poblado,bar,ChIJebEL-SkoRI4RcXaj3HEEDJU,6.2074808,-75.56815379999999,La Octava Bar,reggaeton|crossover|late-night
Son Havana,Laureles,bar,ChIJT6rIGAopRI4RnmT4NpkaFco,6.2502127,-75.5920785,Son Havana Bar,live-music|salsa|late-night
La Ruana de Juana,El Poblado,bar,ChIJM1ouySsoRI4RSQ0PWE7IcW8,6.210098899999999,-75.569465,La Ruana de Juana,local|reggaeton|late-night
Bar Chupitos Provenza,Provenza,bar,ChIJAa567CkoRI4RKt8qX61DqOM,6.2083669,-75.5672754,Chupitos Medellin | Bar Parque Lleras,shooters|pre-game|tourist-friendly
